but	但是
like	喜欢
see	看见
sit	坐
on	在…… 上
chair	椅子
please	请
you	你；你们
have	有
short	短的；个子矮的
mum	妈妈(短的)
You look great!	你看起来很棒！
skip	跳绳
run	跑
fly a kite	放风筝
skateboard	滑滑板
ride a bike	骑自行车
child (复数 children)	孩子
in	在…… 里面
the	(表示特指)
park	公园
are	是(They ___ workers)
can	能够
fun	有趣的；乐趣
fast	快的；快；快速
help	帮助
together	一起
get	去取；得到；获得
bring	带来
jump	跳
Hello.	喂，你好。
milk	牛奶
juice	果汁
tomato	西红柿
carrot	胡萝卜
apple	苹果
banana	香蕉
grape	葡萄
meat	肉
fish	鱼；鱼肉
funny	有趣的
food	食物
what	什么
some	一些
fruit	水果
vegetable	蔬菜
cut	切
we	我们
no	不；不是
for	(表示对象、用途等) 给；对
yes	是的
chicken	鸡肉
soup	汤
